Serial,Symbol,Company Name,Screener Stock Symbol,Screener Stock Url
1,RELIANCE,Reliance Industries Limited,RELIANCE,https://www.screener.in/company/RELIANCE/consolidated/
2,TCS,Tata Consultancy Services Limited,TCS,https://www.screener.in/company/TCS/consolidated/
3,HDFCBANK,HDFC Bank Limited,HDFCBANK,https://www.screener.in/company/HDFCBANK/consolidated/
4,ICICIBANK,ICICI Bank Limited,ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/
5,BHARTIARTL,Bharti Airtel Limited,BHARTIARTL,https://www.screener.in/company/BHARTIARTL/consolidated/
6,SBIN,State Bank of India,SBIN,https://www.screener.in/company/SBIN/consolidated/
7,INFY,Infosys Limited,INFY,https://www.screener.in/company/INFY/consolidated/
8,LICI,Life Insurance Corporation Of India,LICI,https://www.screener.in/company/LICI/consolidated/
9,ITC,ITC Limited,ITC,https://www.screener.in/company/ITC/consolidated/
10,HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR,https://www.screener.in/company/HINDUNILVR/consolidated/
11,LT,Larsen & Toubro Limited,LTIM,https://www.screener.in/company/LTIM/consolidated/
12,BAJFINANCE,Bajaj Finance Limited,BAJFINANCE,https://www.screener.in/company/BAJFINANCE/consolidated/
13,HCLTECH,HCL Technologies Limited,HCLTECH,https://www.screener.in/company/HCLTECH/consolidated/
14,MARUTI,Maruti Suzuki India Limited,MARUTI,https://www.screener.in/company/MARUTI/consolidated/
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,SUNPHARMA,https://www.screener.in/company/SUNPHARMA/consolidated/
16,ADANIENT,Adani Enterprises Limited,ADANIENT,https://www.screener.in/company/ADANIENT/consolidated/
17,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK,https://www.screener.in/company/KOTAKBANK/consolidated/
18,TITAN,Titan Company Limited,TITAN,https://www.screener.in/company/TITAN/consolidated/
19,ONGC,Oil & Natural Gas Corporation Limited,ONGC,https://www.screener.in/company/ONGC/consolidated/
20,TATAMOTORS,Tata Motors Limited,TATAMOTORS,https://www.screener.in/company/TATAMOTORS/consolidated/
21,NTPC,NTPC Limited,NTPC,https://www.screener.in/company/NTPC/consolidated/
22,AXISBANK,Axis Bank Limited,AXISBANK,https://www.screener.in/company/AXISBANK/consolidated/
23,DMART,Avenue Supermarts Limited,DMART,https://www.screener.in/company/DMART/consolidated/
24,ADANIGREEN,Adani Green Energy Limited,ADANIGREEN,https://www.screener.in/company/ADANIGREEN/consolidated/
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS,https://www.screener.in/company/ADANIPORTS/consolidated/
26,ULTRACEMCO,UltraTech Cement Limited,ULTRACEMCO,https://www.screener.in/company/ULTRACEMCO/consolidated/
27,ASIANPAINT,Asian Paints Limited,ASIANPAINT,https://www.screener.in/company/ASIANPAINT/consolidated/
28,COALINDIA,Coal India Limited,COALINDIA,https://www.screener.in/company/COALINDIA/consolidated/
29,BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV,https://www.screener.in/company/BAJAJFINSV/consolidated/
30,BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO,https://www.screener.in/company/BAJAJ-AUTO/consolidated/
31,POWERGRID,Power Grid Corporation of India Limited,POWERGRID,https://www.screener.in/company/POWERGRID/consolidated/
